year,player_id,name_full,name_last,name_first,name_mneumonic,class,position,jersey_number,team_id
2021,1844815,"gordon, eron",gordon,eron,eron gordon,Sr,G,10,735
2021,1844829,"woods, seventh",woods,seventh,seventh woods,Sr,G,23,446
2021,1844839,"roberts, justin",roberts,justin,justin roberts,Sr,G,0,482
2021,1844844,"jackson, vance",jackson,vance,vance jackson,Sr,F,13,196
2021,1844883,"bohannon, jordan",bohannon,jordan,jordan bohannon,Sr,G,3,312
2021,1844904,"groce, ty",groce,ty,ty groce,Sr,F,4,87
2021,1844936,"fulkerson, john",fulkerson,john,john fulkerson,Sr,F,10,694
2021,1844937,"johnson, jalen",johnson,jalen,jalen johnson,Sr,G,20,406
2021,1844975,"mintz, davion",mintz,davion,davion mintz,Sr,G,10,334
2021,1844992,"friday iv, sammy",friday iv,sammy,sammy friday iv,Sr,F,20,201
2021,1845027,"shivers, ahsante",shivers,ahsante,ahsante shivers,Sr,G,1,665
2021,1845067,"bertram, brock",bertram,brock,brock bertram,Sr,C,41,86
2021,1845126,"painter, dylan",painter,dylan,dylan painter,Sr,F,42,180
2021,1845185,"jones, andre",jones,andre,andre jones,Sr,G,1,498
2021,1845196,"dishman, deandre",dishman,deandre,deandre dishman,Sr,F,2,419
2021,1845227,"miller jr., rodney",miller jr.,rodney,rodney miller jr.,Sr,C,14,415
2021,1845242,"winchester, everett",winchester,everett,everett winchester,Sr,G,2,229
2021,1845315,"jackson, quan",jackson,quan,quan jackson,Sr,G,13,9
2021,1845321,"lawson, a.j.",lawson,a.j.,a.j. lawson,Sr,G,2,699
2021,1845368,"clayborne, evan",clayborne,evan,evan clayborne,Sr,F,10,456
2021,1845377,"lamar, arkel",lamar,arkel,arkel lamar,Sr,F,3,2707
2021,1845438,"scott, monty",scott,monty,monty scott,Sr,G,2,204
2021,1845533,"baruti, bitumba",baruti,bitumba,bitumba baruti,Sr,G,20,229
2021,1845549,"mcewen, koby",mcewen,koby,koby mcewen,Sr,G,15,758
2021,1845618,"simmons, jahmiah",simmons,jahmiah,jahmiah simmons,Sr,F,10,497
2021,1845620,"willis, christian",willis,christian,christian willis,Sr,G,5,30
2021,1845666,"taylor, nolan",taylor,nolan,nolan taylor,Sr,F,31,654
2021,1845862,"keyser, c.j.",keyser,c.j.,c.j. keyser,Sr,G,25,523
2021,1845892,"medlock, shaheed",medlock,shaheed,shaheed medlock,Sr,G,55,176
2021,1845896,"bassett, dontay",bassett,dontay,dontay bassett,Sr,C,21,758
2021,1845908,"shungu, ben",shungu,ben,ben shungu,Sr,G,24,738
2021,1846013,"howell, mikey",howell,mikey,mikey howell,Sr,G,5,72
2021,1846092,"hawkins, ryan",hawkins,ryan,ryan hawkins,Sr,F,44,169
2021,1846203,"hartfield, braun",hartfield,braun,braun hartfield,Sr,G,55,541
2021,1846219,"pettway, john",pettway,john,john pettway,Sr,G,50,692
2021,1846254,"aiken, bryce",aiken,bryce,bryce aiken,Sr,G,1,635
2021,1846259,"towns, seth",towns,seth,seth towns,Sr,F,31,518
2021,1846340,"love, kijana",love,kijana,kijana love,Sr,G,21,51
2021,1846341,"lester, chris",lester,chris,chris lester,Sr,F,23,469
2021,1846445,"ayah, precious",ayah,precious,precious ayah,Sr,F,5,414
2021,1846448,"weathers, marcus",weathers,marcus,marcus weathers,Sr,F,50,663
2021,1846449,"weathers, michael",weathers,michael,michael weathers,Sr,G,23,663
2021,1846527,"almonacy, michael",almonacy,michael,michael almonacy,Sr,G,5,27
2021,1846529,"garcia, andrew",garcia,andrew,andrew garcia,Sr,G,4,331
2021,1846563,"thomas, justin",thomas,justin,justin thomas,Sr,G,3,17
2021,1846628,"buggs, drew",buggs,drew,drew buggs,Sr,G,11,792
2021,1846656,"stewart, kevion",stewart,kevion,kevion stewart,Sr,G,15,7
2021,1846668,"garvin, najee",garvin,najee,najee garvin,Sr,F,3,270
2021,1846733,"tape, patrick",tape,patrick,patrick tape,Sr,F,11,629
2021,1846830,"clayton, dejuan",clayton,dejuan,dejuan clayton,Sr,G,13,272
2021,1846907,"stewart, tyler",stewart,tyler,tyler stewart,Sr,G,22,600
2021,1846983,"butler, james",butler,james,james butler,Sr,F,51,191
2021,1846990,"dunn-martin, tavian",dunn-martin,tavian,tavian dunn-martin,Sr,G,5,28755
2021,1847060,"jones, jordan",jones,jordan,jordan jones,Sr,C,15,386
2021,1847146,"bolden, jair",bolden,jair,jair bolden,Sr,G,52,87
2021,1847151,"smith, collin",smith,collin,collin smith,Sr,F,35,488
2021,1847152,"marfo, kevin",marfo,kevin,kevin marfo,Sr,F,0,562
2021,1847200,"sears, damien",sears,damien,damien sears,Sr,F,12,665
2021,1847217,"brooks, nysier",brooks,nysier,nysier brooks,Sr,C,3,433
2021,1847285,"williams, jannson",williams,jannson,jannson williams,Sr,F,3,202
2021,1847311,"kier, justin",kier,justin,justin kier,Sr,G,5,29
2021,1847314,"wilson, aj",wilson,aj,aj wilson,Sr,F,12,648
2021,1847643,"allen, corey",allen,corey,corey allen,Sr,G,11,254
2021,1847687,"goodwin, chevez",goodwin,chevez,chevez goodwin,Sr,F,1,657
2021,1847688,"galloway, brevin",galloway,brevin,brevin galloway,Sr,G,51,67
2021,1847691,"smart, osinachi",smart,osinachi,osinachi smart,Sr,C,33,1014
2021,1847820,"sherod, nick",sherod,nick,nick sherod,Sr,G,5,575
